Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.617
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.597014925
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.668
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,72356176471
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.123974327
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7155.083604
Azerbaijan,AZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10112555
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.577
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.582900286
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.785430498
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,71857382746
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.886242145
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7829.053137
Belarus,BLR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Belarus,BLR,"Population, total",SP.POP.TOTL,9178298
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.731
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.951479912
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.000599031
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.461
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,43914
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.235
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1.23616E+12
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.622310407
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1672.505957
Africa Eastern and Southern,AFE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,739108306
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.33533732
Africa Eastern and Southern,AFE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.126974821
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,7.96586E+11
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.342775594
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1584.333285
Africa Western and Central,AFW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,502789511
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.6354097
Africa Western and Central,AFW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.670083708
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,3.49152E+12
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.92979198
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,7377.398936
Arab World,ARB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Arab World,ARB,"Population, total",SP.POP.TOTL,473272080
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.8277579
Arab World,ARB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.64216403
Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,6.32217E+11
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.365055231
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,53475.2935
Belgium,BEL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Belgium,BEL,"Population, total",SP.POP.TOTL,11822592
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,98.189
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.049010776
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.528
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,19395765126
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.730919046
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7249.799326
Botswana,BWA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Botswana,BWA,"Population, total",SP.POP.TOTL,2675352
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.867
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.067615493
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,23.381
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2.17367E+12
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.908480487
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,10043.62392
Brazil,BRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Brazil,BRA,"Population, total",SP.POP.TOTL,216422446
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.788
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.593562823
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.947
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,15128292954
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.407068229
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,33430.91848
Brunei Darussalam,BRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,452524
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.149
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.357064312
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.296
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1.01584E+11
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.84638956
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,15797.59558
Bulgaria,BGR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6430370
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.701
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Bulgaria,BGR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.442841401
Bulgaria,BGR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.319
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,31772759999
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.4
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1875.071482
Cambodia,KHM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Cambodia,KHM,"Population, total",SP.POP.TOTL,16944826
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.57
Cambodia,KHM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.951152325
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.127467966
Cambodia,KHM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,2.14009E+12
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.065994453
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,53371.69743
Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Canada,CAN,"Population, total",SP.POP.TOTL,40097761
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.862
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.879001598
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.415
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,3.35533E+11
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.218780667
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,17093.24197
Chile,CHL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Chile,CHL,"Population, total",SP.POP.TOTL,19629590
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.012
Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.581682514
Chile,CHL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.013
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.77948E+13
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.2
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12614.06099
China,CHN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
China,CHN,"Population, total",SP.POP.TOTL,1410710000
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.57
China,CHN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.234836829
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,3.6354E+11
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.612181322
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6979.725135
Colombia,COL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Colombia,COL,"Population, total",SP.POP.TOTL,52085168
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.354
Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.73590449
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.603
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,86497941439
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.111921832
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,16595.37038
Costa Rica,CRI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5212173
Costa Rica,CRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.622
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Costa Rica,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.525193509
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.325
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2555492085
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.870251451
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,445.028196
Central African Republic,CAF,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5742315
Central African Republic,CAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.614
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Central African Republic,CAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.979138526
Central African Republic,CAF,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,82688842717
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.060871288
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,21459.78478
Croatia,HRV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Croatia,HRV,"Population, total",SP.POP.TOTL,3853200
Croatia,HRV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.575
Croatia,HRV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Croatia,HRV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.941281776
Croatia,HRV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.086
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,..
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Cuba,CUB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Cuba,CUB,"Population, total",SP.POP.TOTL,11194449
Cuba,CUB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.523
Cuba,CUB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Cuba,CUB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Cuba,CUB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,32229622669
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.466934965
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,34701.44141
Cyprus,CYP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,1260138
Cyprus,CYP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.987
Cyprus,CYP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.541341888
Cyprus,CYP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.098
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,3.30858E+11
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.311479452
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,30427.42347
Czechia,CZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Czechia,CZE,"Population, total",SP.POP.TOTL,10873689
Czechia,CZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.552
Czechia,CZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Czechia,CZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.66126014
Czechia,CZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.58
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,53252637670
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.71585628
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,16810.93502
Caribbean small states,CSS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,3167738
Caribbean small states,CSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.97723116
Caribbean small states,CSS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Caribbean small states,CSS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.813860264
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1.21444E+11
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.360615687
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,10716.01336
Dominican Republic,DOM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11332972
Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.446
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Dominican Republic,DOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.78561281
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.555
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,4.04199E+11
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.889610386
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,67967.38187
Denmark,DNK,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Denmark,DNK,"Population, total",SP.POP.TOTL,5946952
Denmark,DNK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.495
Denmark,DNK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.305178112
Denmark,DNK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.094
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1.18845E+11
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.355217907
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6533.351504
Ecuador,ECU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Ecuador,ECU,"Population, total",SP.POP.TOTL,18190484
Ecuador,ECU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.792
Ecuador,ECU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.893650055
Ecuador,ECU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.215687642
Ecuador,ECU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.51
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,3.95926E+11
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.759005419
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3512.580065
"Egypt, Arab Rep.",EGY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,112716598
"Egypt, Arab Rep.",EGY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.1
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,33.88477631
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,40744848828
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.005590126
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,29823.74961
Estonia,EST,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Estonia,EST,"Population, total",SP.POP.TOTL,1366188
Estonia,EST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.81
Estonia,EST,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
